run,session,correct_answers,timed_out_questions,reward
nemotron-3-nano_4b_eager_categorization_calc,1,6,0,2000
nemotron-3-nano_4b_eager_categorization_calc,2,9,0,16000
nemotron-3-nano_4b_eager_categorization_calc,3,13,0,256000
nemotron-3-nano_4b_eager_categorization_calc,4,3,0,300
nemotron-3-nano_4b_eager_categorization_calc,5,11,0,64000
nemotron-3-nano_4b_eager_categorization_calc,6,4,0,500
nemotron-3-nano_4b_eager_categorization_calc,7,0,0,0
nemotron-3-nano_4b_eager_categorization_calc,8,2,0,200
nemotron-3-nano_4b_eager_categorization_calc,9,1,0,100
nemotron-3-nano_4b_eager_categorization_calc,10,3,0,300
nemotron-3-nano_4b_eager_categorization_calc,11,15,0,1024000
nemotron-3-nano_4b_eager_categorization_calc,12,15,0,1024000
nemotron-3-nano_4b_eager_categorization_calc,13,4,0,500
nemotron-3-nano_4b_eager_categorization_calc,14,6,0,2000
nemotron-3-nano_4b_eager_categorization_calc,15,0,0,0
nemotron-3-nano_4b_eager_categorization_calc,16,13,0,256000
nemotron-3-nano_4b_eager_categorization_calc,17,1,0,100
nemotron-3-nano_4b_eager_categorization_calc,18,15,0,1024000
nemotron-3-nano_4b_eager_categorization_calc,19,13,0,256000
nemotron-3-nano_4b_eager_categorization_calc,20,2,0,200
nemotron-3-nano_4b_eager_categorization_calc,21,3,0,300
nemotron-3-nano_4b_eager_categorization_calc,22,0,1,0
nemotron-3-nano_4b_eager_categorization_calc,23,7,0,4000
nemotron-3-nano_4b_eager_categorization_calc,24,3,0,300
nemotron-3-nano_4b_eager_categorization_calc,25,3,1,300
nemotron-3-nano_4b_eager_categorization_calc,26,4,0,500
nemotron-3-nano_4b_eager_categorization_calc,27,1,0,100
nemotron-3-nano_4b_eager_categorization_calc,28,3,0,300
nemotron-3-nano_4b_eager_categorization_calc,29,5,1,1000
nemotron-3-nano_4b_eager_categorization_calc,30,0,1,0
nemtron3-4b-base,1,11,0,64000
nemtron3-4b-base,2,2,1,200
nemtron3-4b-base,3,2,1,200
nemtron3-4b-base,4,0,0,0
nemtron3-4b-base,5,2,0,200
nemtron3-4b-base,6,1,1,100
nemtron3-4b-base,7,4,0,500
nemtron3-4b-base,8,0,0,0
nemtron3-4b-base,9,0,1,0
nemtron3-4b-base,10,1,1,100
nemtron3-4b-base,11,0,1,0
nemtron3-4b-base,12,4,0,500
nemtron3-4b-base,13,6,0,2000
nemtron3-4b-base,14,1,1,100
nemtron3-4b-base,15,3,1,300
nemtron3-4b-base,16,1,0,100
nemtron3-4b-base,17,6,1,2000
nemtron3-4b-base,18,1,0,100
nemtron3-4b-base,19,2,0,200
nemtron3-4b-base,20,3,0,300
nemtron3-4b-base,21,1,1,100
nemtron3-4b-base,22,0,0,0
nemtron3-4b-base,23,7,0,4000
nemtron3-4b-base,24,0,0,0
nemtron3-4b-base,25,2,1,200
nemtron3-4b-base,26,1,0,100
nemtron3-4b-base,27,1,0,100
nemtron3-4b-base,28,0,1,0
nemtron3-4b-base,29,0,0,0
nemtron3-4b-base,30,8,1,8000
qwen3.5-4b-answer-then-verify,1,0,1,0
qwen3.5-4b-answer-then-verify,2,1,1,100
qwen3.5-4b-answer-then-verify,3,0,0,0
qwen3.5-4b-answer-then-verify,4,0,0,0
qwen3.5-4b-answer-then-verify,5,6,1,2000
qwen3.5-4b-answer-then-verify,6,14,1,512000
qwen3.5-4b-answer-then-verify,7,4,1,500
qwen3.5-4b-answer-then-verify,8,2,1,200
qwen3.5-4b-answer-then-verify,9,5,1,1000
qwen3.5-4b-answer-then-verify,10,0,0,0
qwen3.5-4b-answer-then-verify,11,0,0,0
qwen3.5-4b-answer-then-verify,12,1,0,100
qwen3.5-4b-answer-then-verify,13,7,0,4000
qwen3.5-4b-answer-then-verify,14,1,1,100
qwen3.5-4b-answer-then-verify,15,5,0,1000
