run,sessions,mean_correct,median_correct,hit_at_10_pct,hit_at_15_pct,timed_out_questions
3060_nemotron-3-nano_4b_simplecalc,30,3.733,2.0,3.33,3.33,16
3060_qwen3.5_2b_simplecalc,30,3.4,3.0,6.67,0.0,17
3060_qwen3.5_4b_pythoneval,12,6,5.5,25.0,0.0,0
3060_qwen3.5_4b_simplecalc,30,5.3,4.0,20.0,10.0,14
3060_qwen3.5_9b_simplecalc,6,5.5,5.0,33.33,0.0,4
gemma4-e4b-base,15,1.867,1,0.0,0.0,10
gemma4_e2b_pythoneval,30,2.167,1.0,6.67,0.0,7
gemma4_e2b_simplecalc,20,2.6,1.5,0.0,0.0,14
gemma4_e4b_simplecalc,15,2.267,2,0.0,0.0,12
gemma4e2b-base,15,1.267,1,0.0,0.0,5
nemotron-3-nano_4b_categorization_python_eval,30,5.433,3.5,20.0,6.67,6
nemotron-3-nano_4b_eager_categorization_calc,30,5.5,3.5,23.33,10.0,4
nemotron-3-nano_4b_pythoneval,30,2.933,2.0,6.67,3.33,5
nemotron-3-nano_4b_simplecalc,30,2.167,1.5,0.0,0.0,26
nemotron3-nano-4b-answer-then-verify,33,4.242,3,18.18,3.03,6
nemtron3-4b-base,30,2.333,1.0,3.33,0.0,13
phi4-mini-base,15,0.867,0,0.0,0.0,7
qwen3.5-4b-answer-then-verify,33,2.939,2,6.06,0.0,19
qwen3.5-4b-base,15,3.467,3,0.0,0.0,4
qwen3.5-9b-base,15,4.133,1,20.0,6.67,6
qwen3.5-nonthinking_4b_pythoneval,15,2.2,2,0.0,0.0,3
qwen3.5-nonthinking_9b_pythoneval,15,3.2,1,6.67,0.0,4
qwen3.5-nonthinking_9b_simplecalc,15,1.867,1,0.0,0.0,11
qwen3.5_2b_categorization_python_eval,7,1.143,0,0.0,0.0,2
qwen3.5_2b_pythoneval,31,3.645,2,9.68,0.0,22
qwen3.5_4b_categorization_python_eval,22,2.136,1.0,4.55,0.0,19
qwen3.5_4b_eager_categorization_calc,30,3.9,3.0,13.33,0.0,22
qwen3.5_4b_pythoneval,30,3.1,3.0,0.0,0.0,20
qwen3.5_4b_simplecalc,30,4.567,3.0,10.0,3.33,21
qwen3.5_9b_pythoneval,9,2.667,1,0.0,0.0,3
qwen3.5_9b_simplecalc,15,2.267,2,0.0,0.0,8
